Country,Confucius Institute,Link,Active,City,Other Links,"date est.
(mm/dd/yyyy)",,
United Kingdom,Confucius Institute at Queen Mary University of London,http://english.hanban.org/node_45715.htm,,,,,,
United Kingdom,Confucius Institute at Coventry University,http://english.hanban.org/node_45718.htm,,,,,,
United Kingdom,Confucius Institute at Oxford Brooks University,http://www.brookes.ac.uk/confucius,,,,,,
United Kingdom,Confucius Institute of Science and Technology Innovation at the University of Huddersfi,http://zhuanti.hanban.org/videolist/?cat=769&tag=en,,,,,,
United States,Confucius Institute at the University of Maryland,http://www.international.umd.edu/cim/,,,,,,
United States,Confucius Institute at the College of William & Mary,https://www.wm.edu/sites/confuciusinstitute/,,,,,,
United States,Confucius Institute at China Institute,http://www.chinainstitute.org/,,,,,,
United States,Confucius Institute at the University of Kansas,https://soe.ku.edu/ku-end-confucius-institute-program,,,,,,
United States,Confucius Institute at the University of Iowa,https://diversity.uiowa.edu/unit/confucius-institute,,,,,,
United States,Confucius Institute at Michigan State University,http://www.confucius.msu.edu/,,,,,,
United States,Confucius Institute at the University of Oklahoma,http://www.ou.edu/ouci/,,,,,,
United States,Confucius Institute at the University of Missouri,https://confucius.missouri.edu/,,,,,,
United States,Confucius Institute at Bryant University,https://china.bryant.edu/confucius-institute,,,,,,
United States,"Confucius Institute at the University of California, Los Angeles",http://www.confucius.ucla.edu/,,,,,,
United States,"Confucius Institute at University of California, Davis",http://english.hanban.org/node_41323.htm,,,,,,
United States,Confucius Institute at Portland State University,http://cipsu.us.chinesecio.com/,,,,,,
United States,Confucius Institute at Community College of Denver,https://www.ccd.edu/org/confucius-institute,,,,,,
United States,Confucius Institute at New Mexico State University,https://confucius.nmsu.edu/,no,,https://confucius.nmsu.edu/,,,
United States,Confucius Institute at the University of Nebraska-Lincoln,http://confuciusinstitute.unl.edu/,,,,,,
United States,Confucius Institute at the University of Pittsburgh,http://www.ucis.pitt.edu/cipitt/,,,,,,
United States,Confucius Institute at the University of Memphis,http://www.memphis.edu/cium/,,,,,,
United States,Confucius Institute at Wayne State University,http://www.clas.wayne.edu/ci,,,,,,
United States,"Confucius Institute at Rutgers, the State University of New Jersey",http://www.ciru.rutgers.edu/,,,,,,
United States,Confucius Institute at the University of Central Arkansas,https://uca.edu/confucius/,,,,,,
United States,Confucius Institute at Valparaiso University,https://www.valpo.edu/confucius-institute/,,,,,,
United States,Confucius Institute at Miami University,http://miamioh.edu/global-initiatives/confucius-institute/index.html,,,,,,
United States,Confucius Institute at the University of Wisconsin-Platteville,https://www.uwplatt.edu/department/confucius-institute,,,,,,
United States,Confucius Institute at Troy University,http://citu.us.chinesecio.com/,,,,,,
United States,Confucius Institute at the University of Utah,http://confucius-institute.utah.edu/,,,,,,
United States,Confucius Institute at the University of Arizona,http://www.arizona.edu/,,,,,,
United States,Confucius Institute at Xavier University of Louisiana,http://www2.xula.edu/confucius/index.html,,,,,,
United States,Confucius Institute at Houston Independent School District,http://www.houstonisd.org/confucius,,,,,,
United States,Confucius Institute at Broward County Public Schools,http://english.hanban.org/node_41290.htm,,,,,,
United States,Confucius Institute at East Central Ohio Educational Service Center,http://www.ecoesc.org/,,,,,,
United States,Confucius Institute at Colorado State University,http://english.hanban.org/node_41301.htm,,,,,,
United States,Confucius Institute at Old Dominion University,http://www.odu.edu/ci,,,,,,
United States,Confucius Institute at Central Connecticut State University,https://www.ccsu.edu/ci/,,,,,,
United States,Confucius Institute at Texas Southern University,http://www.tsuci.org/,,,,,,
United States,Confucius Institute at Webster University,https://www.webster.edu/confucius-institute/,,,,,,
United States,Confucius Institute in Atlanta,http://confucius.emory.edu/,,,,,,
United States,Confucius Institute at the University of Akron,http://www.uakron.edu/ci/,,,,,,
United States,Confucius Institute at the University of Montana,http://www.umt.edu/mansfield/,,,,,,
United States,Confucius Institute at the University of South Carolina,https://ci.sc.edu/,,,,,,
United States,Confucius Institute at Cleveland State University,http://www.csuohio.edu/confucius,,,,,,
United States,Confucius Institute at the University of Toledo,http://www.utoledo.edu/cisp/Confucius_Institute/index.html,,,,,,
United States,Confucius Institute at Alfred University,http://ciau.us.chinesecio.com/,,,,,,
United States,Confucius Institute at Stony Brook University,http://www.stonybrook.edu/confucius/,,,,,,
United States,Confucius Institute at George Mason University,http://confucius.gmu.edu/,,,,,,
United States,Confucius Institute at Presbyterian College,https://www.presby.edu/academics/confucius-institute/,,,,,,
United States,Confucius Institute at Western Michigan University,http://www.wmich.edu/international,,,,,,
United States,Confucius Institute of the State of Washington,http://confucius.washington.edu/,,,,,,
United States,Confucius Institute at the George Washington University,http://confucius.columbian.gwu.edu/,,,,,,
United States,Confucius Institute at the University of Idaho,http://www.uidaho.edu/class/confucius-institute,,,,,,
United States,Confucius Institute at the University of Southern Maine,http://www.usm.maine.edu/confucius,,,,,,
United States,"Confucius Institute at the University at Albany, State University of New York",http://www.albany.edu/,,,,,,
United States,Confucius Institute at St. Cloud State University,https://www.stcloudstate.edu/confucius/,,,,,,
United States,Confucius Institute at Middle Tennessee University,https://www.mtsu.edu/cimtsu/,,,,,,
United States,Confucius Institute at Wesleyan College,http://wesleyancollege.us.chinesecio.com/,,,,,,
United States,"Confucius Institute at State College of Optometry, State University of New York",https://www.sunyopt.edu/education/academics/international-programs/confucius-institute,,,,,,
United States,Confucius Institute in Chicago,http://www.confuciusinstituteinchicago.com/,,,,,,
United States,Confucius Institute for Business at State University of New York,http://confuciusbusiness.suny.edu/,,,,,,
United States,Confucius Institute at Columbia University,http://www.columbia.edu/,,,,,,
United States,Confucius Institute at State University of New York at Buffalo,http://www.confuciusinstitute.buffalo.edu/,,,,,,
United States,Confucius Institute of Chinese Opera at the State University of New York at Binghamton,http://www.binghamton.edu/confucius-institute/,,,,,,
United States,Confucius Institute at Stanford University,https://ealc.stanford.edu/confucius-institute/confucius-institute-overview,,,,,,
United States,Confucius Institute at the University of Kentucky,https://international.uky.edu/ukci,,,,,,
United States,Confucius Institute at the University of Delaware,http://sites.udel.edu/ci/,,,,,,
United States,Confucius Institute at the University of New Hampshire,http://cola.unh.edu/confucius,,,,,,
United States,Confucius Institute at Georgia State University,http://ci.gsu.edu/,,,,,,
United States,Confucius Institute at University of Alaska Anchorage,https://www.uaa.alaska.edu/academics/college-of-arts-and-sciences/programs/confucius-institute/,,,,,,
United States,Confucius Institute at Northern State University,http://english.hanban.org/node_44977.htm,,,,,,
United States,Confucius Institute at Tufts University,http://english.hanban.org/node_45729.htm,,,,,,
United States,Confucius Institute at Kansas State University,http://www.k-state.edu/confucius,,,,,,
United States,Confucius Institute at Alabama A&M University,http://www.aamu.edu/confucius/Pages/default.aspx,,,,,,
United States,Confucius Institute at Temple University,http://english.hanban.org/node_45744.htm,,,,,,
United States,Confucius Institute at West Virginia University,http://english.hanban.org/node_45747.htm,,,,,,
United States,Confucius Institute at Southern Utah University,http://suu.edu/confucius/index.html,,,,,,
United States,Confucius Institute at New Jersey City University,http://english.hanban.org/node_45753.htm,,,,,,
United States,Confucius Institute at Clark County School District,http://english.hanban.org/node_41317.htm,,,,,,
United States,Confucius Institute at Davis School Disrict,http://english.hanban.org/node_41318.htm,,,,,,
United States,Confucius Institute at Savannah State University,https://www.savannahstate.edu/confucius/,,,,,,
United States,"Confucius Institute at the University of California, Santa Barbara",http://english.hanban.org/node_42929.htm,,,,,,
United States,Confucius Institute at Northwest Nazarene University,https://chinesestudies.nnu.edu/,,,,,,
United States,Confucius Institute at the University of North Carolina at Charlotte,https://confucius.uncc.edu/,,Charlotte,,,,
United States,New York Confucius Institute for Global Finance at Baruch College,http://zhuanti.hanban.org/videolist/?cat=680&tag=en,,,,,,
United States,Confucius Institute at Medga Evers College The City University of New York,http://zhuanti.hanban.org/videolist/?cat=681&tag=en,,New York City,,,,
United States,Confucius Institute of Western Kentucky,http://zhuanti.hanban.org/videolist/?cat=761&tag=en,,,,,,
United States,Confucius Institute in San Diego at San Diego Global Educational Institute,http://zhuanti.hanban.org/videolist/?cat=762&tag=en,,San Diego,,,,
United States,Miami Confucius Institute for Business,http://zhuanti.hanban.org/videolist/?cat=795&tag=en,,Miami,,,,
Uruguay,"Confucius Institute at the Universidad de la Republica, Uruguay",http://zhuanti.hanban.org/videolist/?cat=683&tag=en,,,,,,
Uzbekistan,Confucius Institute in Tashkent State Institute of Oriental Studies,http://www.tdshi.uz/,,,,6/1/2004,,
Uzbekistan,Confucius Institute at Samarkand State Institute of Foreign Languages,http://www.samdchti.uz/,,,,,,
Venezuela,Confucius Institute at Universidad Bolivariana de Venezuela,http://english.hanban.org/node_45771.htm,,,,,,
Venezuela,Confucius Institute at the Bolivarian University of Venezuela in Caracas,,,,https://www.facebook.com/page/338109312883186/search/?q=confucius,12/16/2016,,
Vietnam,Confucius Institute at Hanoi University,http://hanu.vn/,,,,,,
Zambia,Confucius Institute at University of Zambia,https://www.unza.zm/confucius/,,,,,,
Zimbabwe,Confucius Institute at the University of Zimbabwe,https://www.uz.ac.zw/,,,,,,
